key,en
BPM,BPM
GAIN,gain
MUSIC_PANEL_INPUT_TTS_BPM_ABC123,Type to set the beats per minute. \0 to finish.
MUSIC_PANEL_INPUT_TTS_BPM_NO_ABC123,\0 to enable input and then type to set the beats per minute.
MUSIC_PANEL_INPUT_TTS_BPM,Type to set the beats per minute.
MUSIC_PANEL_INPUT_TTS_GAIN,\0 and \1 to set the gain.
MUSIC_PANEL_INPUT_TTS_NAME_ABC123,Type the name of the music. \0 to finish.
MUSIC_PANEL_INPUT_TTS_NAME_NO_ABC123,\0 to enable input and then type the name of the music.
TRACKS_PANEL_STATUS_TTS_NO_SELECTION,There are no tracks.
TRACKS_PANEL_STATUS_TTS_PREFIX,Track \0 is selected.
TRACKS_PANEL_STATUS_TTS_SOUNDFONT,The preset is \0. The bank is \1. The gain is \2. The sound font is \3.
TRACKS_PANEL_STATUS_TTS_MUTED,This track is muted.
TRACKS_PANEL_STATUS_TTS_SOLOED,This track is soloed.
TRACKS_PANEL_STATUS_TTS_NO_SOUNDFONT,This track does not have a sound font.
TRACKS_PANEL_INPUT_TTS_ADD,\0 to add a track.
TRACKS_PANEL_INPUT_TTS_TRACK_PREFIX,\0 to remove the track \4. \1 and \2 to scroll. \3 to set the sound font.
TRACKS_PANEL_INPUT_TTS_TRACK_SUFFIX,\0 and \1 to set the preset. \2 and \3 to set the bank. \4 and \5 to set the gain.
TRACKS_PANEL_INPUT_TTS_MUTE,\0 to mute.
TRACKS_PANEL_INPUT_TTS_UNMUTE,\0 to unmute.
TRACKS_PANEL_INPUT_TTS_SOLO,\0 to solo.
TRACKS_PANEL_INPUT_TTS_UNSOLO,\0 to unsolo.
TRACKS_PANEL_INPUT_TTS_NO_SOUNDFONT,\0 to set the sound font.
OPEN_FILE_PANEL_STATUS_TTS_CWD,The current directory is \0.
FOLDER,folder \0
FILE,file \0
OPEN_FILE_PANEL_TITLE_SOUNDFONT,Load SoundFont
OPEN_FILE_PANEL_TITLE_READ_SAVE,Load Save
OPEN_FILE_PANEL_TITLE_WRITE_SAVE,Save
OPEN_FILE_PANEL_TITLE_EXPORT,Export
OPEN_FILE_PANEL_STATUS_TTS_SELECTION,You selected \0.
OPEN_FILE_PANEL_STATUS_TTS_NO_SELECTION,This directory is empty.
OPEN_FILE_PANEL_STATUS_TTS_EXPORT,The file type is \0.
OPEN_FILE_PANEL_INPUT_TTS_UP_DIRECTORY,\0 to go up to directory \1.
OPEN_FILE_PANEL_INPUT_TTS_SCROLL, \0 and \1 to scroll.
OPEN_FILE_PANEL_INPUT_TTS_CYCLE_EXPORT, \0 to set the export file to \1.
OPEN_FILE_PANEL_INPUT_TTS_DOWN_DIRECTORY,\0 to open folder \1.
OPEN_FILE_PANEL_INPUT_TTS_READ_SAVE,\0 to load save file \1.
OPEN_FILE_PANEL_INPUT_TTS_EXPORT,\0 to load audio file \1.
OPEN_FILE_PANEL_INPUT_TTS_SOUNDFONT,\0 to load sound font \1.
OPEN_FILE_PANEL_INPUT_TTS_WRITE_SAVE,\0 to write save file \1.
OPEN_FILE_PANEL_INPUT_TTS_CLOSE,\0 to close.
PIANO_ROLL_PANEL_TTS_NO_TRACK,You cannot use this panel until you have added a track and loaded a sound font.
PIANO_ROLL_PANEL_STATUS_TTS_MODE,The piano roll mode is \0.
PIANO_ROLL_PANEL_STATUS_TTS_SINGLE_TRACK,You are viewing track \0.
PIANO_ROLL_PANEL_STATUS_TTS_MULTI_TRACK,You are viewing multiple track. Track \0 is selected.
PIANO_ROLL_PANEL_STATUS_TTS_ARMED,"The track is armed. When you input new notes, their duration will be \1 beats and their volume will be \2."
PIANO_ROLL_PANEL_STATUS_TTS_VOLUME,\0 if you use qwerty input otherwise the MIDI velocity value.
PIANO_ROLL_PANEL_STATUS_TTS_NOT_ARMED,"The track is not armed."
PIANO_ROLL_PANEL_STATUS_TTS_PIANO_ROLL_MODE,The piano roll mode is \0.
PIANO_ROLL_PANEL_STATUS_TTS_EDIT_MODE,The edit mode is \0.
PIANO_ROLL_PANEL_STATUS_TTS_NO_SELECTION,No notes are selected.
PIANO_ROLL_PANEL_STATUS_TTS_SELECTED_SINGLE,The selected note has a pitch of \0 and starts at beat \1.
PIANO_ROLL_PANEL_STATUS_TTS_SELECTED_MANY,The selected notes start at beat \0 and end at beat \1.
PIANO_ROLL_PANEL_STATUS_TTS_TIME,"The cursor is at \0. Playback will start at \1."
PIANO_ROLL_PANEL_STATUS_TTS_VIEW,The view is from beats \0 to \1 and pitches \2 to \3.
PIANO_ROLL_PANEL_INPUT_TTS_PLAY,\0 to play music.
PIANO_ROLL_PANEL_INPUT_TTS_SINGLE_TRACK,\0 to view a single track.
PIANO_ROLL_PANEL_INPUT_TTS_MULTI_TRACK,\0 to view multiple tracks.
PIANO_ROLL_PANEL_INPUT_TTS_TRACK_SCROLL,\0 and \1 to select a track.
PIANO_ROLL_PANEL_INPUT_TTS_NOT_ARMED,\0 to arm the track.
PIANO_ROLL_PANEL_INPUT_TTS_ARMED,\0 to disarm the track. \1 and \2 to set the input beat.
PIANO_ROLL_PANEL_INPUT_TTS_DO_NOT_USE_VOLUME,\0 and \1 to set the input volume. \2 to start using MIDI input volume instead. 
PIANO_ROLL_PANEL_INPUT_TTS_USE_VOLUME,\0 to make all new notes have the input volume value.
PIANO_ROLL_PANEL_INPUT_TTS_MODES,"\0, \1, \2, or \3 to set the mode to time, view, select, or edit."
PIANO_ROLL_PANEL_INPUT_TTS_COPY_CUT,\0 or \1 to copy or cut the selected notes.
PIANO_ROLL_PANEL_INPUT_TTS_PASTE,\0 to paste notes.
PIANO_ROLL_PANEL_INPUT_TTS_DELETE,\0 to delete the selected notes.
PIANO_ROLL_PANEL_INPUT_TTS_EDIT_MODE,\0 to set the edit mode to \1.
PIANO_ROLL_PANEL_INPUT_TTS_SELECT_SINGLE,\0 and \1 to select a different note.
PIANO_ROLL_PANEL_INPUT_TTS_SELECT_MANY,\0 and \1 to set the start of the selection. \2 and \3 to set the end of the selection.
PIANO_ROLL_PANEL_INPUT_TTS_SELECT_ALL,\0 to select all. 
PIANO_ROLL_PANEL_INPUT_TTS_DESELECT,\0 to deselect.
PIANO_ROLL_PANEL_INPUT_TTS_SELECT_CYCLE_TO_SINGLE,\0 to select only one note.
PIANO_ROLL_PANEL_INPUT_TTS_SELECT_CYCLE_TO_MANY,\0 to select multiple notes.
PIANO_ROLL_PANEL_INPUT_TTS_EDIT,\0 and \1 to set the start time. \2 and \3 to set the pitch. \3 and \4 to set the duration. \5 and \6 to set the volume.
PIANO_ROLL_PANEL_INPUT_TTS_TIME,\0 and \1 to move the cursor. \2 and \3 to set the cursor to the start and end. \4 to set the cursor to the nearest beat. \5 to set the cursor to the playback time. \6 and \7 to move the playback time. \8 and \9 to set the playback time to the start and end. \10 to set the playback time to the nearest beat. \11 to set the playback time to the cursor.
PIANO_ROLL_PANEL_INPUT_TTS_VIEW_SINGLE_TRACK,"\0, \1, \2, and \3 to move the view. \4 and \5 to set the view to the start and end. \6 and \7 to zoom in and out. \8 to reset the zoom level."
PIANO_ROLL_PANEL_INPUT_TTS_VIEW_MULTI_TRACK,"\0 and \1 to move the view. \4 and \5 to set the view to the start and end."
PIANO_ROLL_MODE_TIME,Time
PIANO_ROLL_MODE_VIEW,View
PIANO_ROLL_MODE_SELECT,Select
PIANO_ROLL_MODE_EDIT,Edit
FRACTION_TTS_ONE_THIRTY_SECOND,one thirty-second
FRACTION_TTS_ONE_SIXTEENTH,one sixteenth
FRACTION_TTS_ONE_EIGHTH,one eighth
FRACTION_TTS_ONE_SIXTH,one sixth
FRACTION_TTS_ONE_FOURTH,one fourth
FRACTION_TTS_ONE_THIRD,one third
FRACTION_TTS_ONE_HALF,one half
FRACTION_TTS_ONE_AND_A_HALF,one and a half
EDIT_MODE_NORMAL,Normal
EDIT_MODE_QUICK,Quick
EDIT_MODE_PRECISE,Precise
ERROR,ERROR: \0
TRUE,Y
FALSE,N
TITLE_MAIN_MENU,Cacophony
TITLE_MUSIC,Music
TITLE_TRACKS,Tracks
TITLE_PIANO_ROLL,Piano Roll
TITLE_OPEN_FILE,Open File
TITLE_EXPORT_STATE,Exporting...
TITLE_EXPORT_SETTINGS,Settings
TITLE_BPM,BPM
TITLE_GAIN,Gain
MAIN_MENU_HELP,Help:
MAIN_MENU_STATUS,\0 Status
MAIN_MENU_INPUT,\0 Input
MAIN_MENU_APP,\0 App
MAIN_MENU_FILE,\0 File
MAIN_MENU_STOP,\0 Stop
TRACKS_PANEL_BANK,Bank
TRACKS_PANEL_GAIN,Gain
TRACKS_PANEL_MUTE,M
TRACKS_PANEL_SOLO,S
TRACKS_PANEL_TRACK_TITLE,Track \0
PIANO_ROLL_PANEL_TOP_BAR_ARMED,Armed
PIANO_ROLL_PANEL_TOP_BAR_BEAT,Beat
PIANO_ROLL_PANEL_TOP_BAR_USE_VOLUME,Use Volume
PIANO_ROLL_PANEL_TOP_BAR_VOLUME,Volume
PIANO_ROLL_PANEL_TOP_BAR_TIME,Time
PIANO_ROLL_PANEL_TOP_BAR_VIEW,View
PIANO_ROLL_PANEL_TOP_BAR_SELECT,Select
PIANO_ROLL_PANEL_TOP_BAR_EDIT,Edit
PIANO_ROLL_PANEL_EDIT_MODE_NORMAL,Edit Mode: Normal
PIANO_ROLL_PANEL_EDIT_MODE_QUICK,Edit Mode: Quick
PIANO_ROLL_PANEL_EDIT_MODE_PRECISE,Edit Mode: Precise
PIANO_ROLL_PANEL_EDIT_MODE_SINGLE,Edit Mode: Single
PIANO_ROLL_PANEL_EDIT_MODE_MANY,Edit Mode: Many
PIANO_ROLL_PANEL_VIEW_DT,\0 to \1
PIANO_ROLL_PANEL_CURSOR_TIME,Cursor: \0
PIANO_ROLL_PANEL_PLAYBACK_TIME,Playback: \0
PIANO_ROLL_PANEL_SELECTED_SINGLE,Selected: \0 at \1
PIANO_ROLL_PANEL_SELECTED_MANY,Selected: \0 to \1
PIANO_ROLL_PANEL_SELECTED_NONE,Selected: None
PIANO_ROLL_PANEL_VOLUME_TITLE,Volume
EXPORT_SETTINGS_PANEL_STATUS_TTS_FRAMERATE,Framerate is selected.
EXPORT_SETTINGS_PANEL_STATUS_TTS_TITLE_NO_ABC123,The title is \1. \0 to edit.
EXPORT_SETTINGS_PANEL_STATUS_TTS_TITLE_ABC123,The title is \0. You can edit it.
EXPORT_SETTINGS_PANEL_STATUS_TTS_ARTIST_NO_ABC123,The artist is \1. \0 to edit.
EXPORT_SETTINGS_PANEL_STATUS_TTS_ARTIST,The artist is \0. You can edit it.
EXPORT_SETTINGS_PANEL_STATUS_TTS_COPYRIGHT_ENABLED,Copyright is enabled. \0 to disable.
EXPORT_SETTINGS_PANEL_STATUS_TTS_COPYRIGHT_DISABLED,Copyright is disabled. \0 to enable.
EXPORT_SETTINGS_PANEL_STATUS_TTS_ALBUM_NO_ABC123,The album title is \1. \0 to edit.
EXPORT_SETTINGS_PANEL_STATUS_TTS_ALBUM,The album title is \0. You can edit it.
EXPORT_SETTINGS_PANEL_STATUS_TTS_GENRE_NO_ABC123,The genre is \1. \0 to edit.
EXPORT_SETTINGS_PANEL_STATUS_TTS_GENRE,The genre is \0. You can edit it.
EXPORT_SETTINGS_PANEL_STATUS_TTS_COMMENT_NO_ABC123,The comment is \1. \0 to edit.
EXPORT_SETTINGS_PANEL_STATUS_TTS_COMMENT_ABC123,The comment is \0. You can edit it.
EXPORT_SETTINGS_PANEL_STATUS_TTS_BIT_RATE,The bit rate is \0 KBPS.
EXPORT_SETTINGS_PANEL_STATUS_TTS_QUALITY,The quality is \0.
EXPORT_SETTINGS_PANEL_STATUS_TTS_TRACK_NUMBER,The track number is \0.
EXPORT_SETTINGS_PANEL_STATUS_TTS_MULTI_FILE_ENABLED,Multi file export is enabled. \0 to disable.
EXPORT_SETTINGS_PANEL_STATUS_TTS_MULTI_FILE_DISABLED,Multi file export is disabled. \0 to enable.
EXPORT_SETTINGS_PANEL_STATUS_TTS_MULTI_FILE_PRESET,Each exported file will use the track's preset as its suffix.
EXPORT_SETTINGS_PANEL_STATUS_TTS_MULTI_FILE_CHANNEL,Each exported file will use the track's channel as its suffix.
EXPORT_SETTINGS_PANEL_STATUS_TTS_MULTI_FILE_CHANNEL_AND_PRESET,Each exported file will use the track's channel and presetas its suffix.
EXPORT_SETTINGS_PANEL_STATUS_TTS_COPYRIGHT_DISABLED,Copyright is disabled. \0 to enable.
EXPORT_SETTINGS_PANEL_INPUT_TTS_FRAMERATE,\0 and \1 to set the framerate.
EXPORT_SETTINGS_PANEL_INPUT_TTS_TITLE_ABC123,Type to set the title. \0 to finish.
EXPORT_SETTINGS_PANEL_INPUT_TTS_TITLE_NO_ABC123,\0 to start editing the title.
EXPORT_SETTINGS_PANEL_INPUT_TTS_ARTIST_ABC123,Type to set the artist. \0 to finish.
EXPORT_SETTINGS_PANEL_INPUT_TTS_ARTIST_NO_ABC123,\0 to start editing the artist.
EXPORT_SETTINGS_PANEL_INPUT_TTS_COPYRIGHT,\0 to toggle copyright.
EXPORT_SETTINGS_PANEL_INPUT_TTS_ALBUM_ABC123,Type to set the album title. \0 to finish.
EXPORT_SETTINGS_PANEL_INPUT_TTS_ALBUM_NO_ABC123,\0 to start editing the album.
EXPORT_SETTINGS_PANEL_INPUT_TTS_GENRE_ABC123,Type to set the genre. \0 to finish.
EXPORT_SETTINGS_PANEL_INPUT_TTS_GENRE_NO_ABC123,\0 to start editing the genre.
EXPORT_SETTINGS_PANEL_INPUT_TTS_COMMENT_ABC123,Type to add a comment. \0 to finish.
EXPORT_SETTINGS_PANEL_INPUT_TTS_COMMENT_NO_ABC123,\0 to start adding a comment.
EXPORT_SETTINGS_PANEL_INPUT_TTS_TRACK_NUMBER,\0 and \1 to set the track number.
EXPORT_SETTINGS_PANEL_INPUT_TTS_MP3_BIT_RATE,\0 and \1 to set the bit rate.
EXPORT_SETTINGS_PANEL_INPUT_TTS_QUALITY,\0 and \1 to set the quality.
EXPORT_SETTINGS_PANEL_INPUT_TTS_SCROLL,\0 and \1 to scroll.
EXPORT_SETTINGS_PANEL_INPUT_TTS_MULTI_FILE,\0 to toggle multi file export.
EXPORT_SETTINGS_PANEL_INPUT_TTS_MULTI_FILE_SUFFIX,\0 and \1 to set the file name suffix.
NONE,none
EXPORT_SETTINGS_PANEL_FRAMERATE,Framerate
EXPORT_SETTINGS_PANEL_MP3_BIT_RATE,Bit rate
EXPORT_SETTINGS_PANEL_QUALITY,Quality
EXPORT_SETTINGS_PANEL_TITLE,Title
EXPORT_SETTINGS_PANEL_ARTIST,Artist
EXPORT_SETTINGS_PANEL_COPYRIGHT,Copyright
EXPORT_SETTINGS_PANEL_ALBUM,Album
EXPORT_SETTINGS_PANEL_TRACK_NUMBER,Track Number
EXPORT_SETTINGS_PANEL_GENRE,Genre
EXPORT_SETTINGS_PANEL_COMMENT,Comment
EXPORT_SETTINGS_PANEL_MULTI_FILE,Export tracks as separate files
EXPORT_SETTINGS_PANEL_MULTI_FILE_SUFFIX,Filename suffix pattern
EXPORT_SETTINGS_PANEL_FILE_SUFFIX_PRESET,Preset
EXPORT_SETTINGS_PANEL_FILE_SUFFIX_CHANNEL,Channel
EXPORT_SETTINGS_PANEL_FILE_SUFFIX_CHANNEL_AND_PRESET,Channel and Preset
