key,en
TRACKS_PANEL_STATUS_TTS_NO_SOUNDFONT,This track does not have a sound font.
TRACKS_PANEL_INPUT_TTS_ADD,\0 to add a track.
TRACKS_PANEL_INPUT_TTS_TRACK_PREFIX,\0 to remove the track \4. \1 and \2 to scroll. \3 to set the sound font.
TRACKS_PANEL_INPUT_TTS_TRACK_SUFFIX,\0 and \1 to set the preset. \2 and \3 to set the bank. \4 and \5 to set the gain.
TRACKS_PANEL_INPUT_TTS_MUTE,\0 to mute.
TRACKS_PANEL_INPUT_TTS_UNMUTE,\0 to unmute.
TRACKS_PANEL_INPUT_TTS_SOLO,\0 to solo.
TRACKS_PANEL_INPUT_TTS_UNSOLO,\0 to unsolo.
OPEN_FILE_TTS_DIRECTORY,The current directory is \0.
OPEN_FILE_TTS_SELECTION,The current selection is \0.
OPEN_FILE_TTS_NO_SELECTION,No file or folder is selected.
OPEN_FILE_TTS_UP_DIRECTORY,\0 to go up to folder \1.
OPEN_FILE_TTS_DOWN_DIRECTORY,\0 to open folder \1.
OPEN_FILE_TTS_LOAD_SOUNDFONT,\0 to load the sound font.
OPEN_FILE_TTS_READ_SAVE,\0 to load the save file.
OPEN_FILE_TTS_WRITE_SAVE,\0 to save.
OPEN_FILE_TTS_CLOSE,\0 to close.
EDIT_MODE_NORMAL,Normal
EDIT_MODE_QUICK,Quick
EDIT_MODE_PRECISE,Precise
VIEW_TTS,"View mode. The view is from beat \7 to \8 and note \9 to \10. \0, \1, \2, and \3 to move the view. \4 and \5 to set the view to the start and end. The edit mode is \11. \6 to change the edit mode."
TIME_TTS,Time mode. The cursor is at \9 and playback will start at \10. \0 and \1 to move the cursor. \2 and \3 to set the cursor to the start and end. \4 and \5 to move the playback time. \6 and \7 to set the playback time to the start and end. The edit mode is \11. \8 to change the edit mode.
EDIT_TTS_NO_SELECTION,Edit mode. No notes are selected. Toggle select mode to select notes.
EDIT_TTS,"Edit mode. \0, \1, \2, and \3 to move the selected notes. \4 and \5 to edit the duration of the notes. \6 and \7 to increase or decrease the volume of the notes. The edit mode is \9. \8 to change the edit mode."
SELECT_TTS_SINGLE,Select mode. \3 \0 and \1 to select a note. \2 to deselect. \3 to select all. The edit mode is Single. \4 to change the edit mode to Many.
SELECT_TTS_SINGLE_NO_SELECTION,No note is selected.
SELECT_TTS_SINGLE_SELECTION,"The selected note is: pitch \0, volume \1, at \2."
SELECT_TTS_MANY, Select mode. \5 \0 and \1 to adjust the start of the selection. \2 and \3 to adjust the end of the selection. \4 to deselect. \5 to select all. The edit mode is Many. \6 to change the edit mode to Single.
SELECT_TTS_MANY_NO_SELECTION,No notes are selected.
SELECT_TTS_MANY_SELECTION,"The selected notes start at \0 and end at \1."
ERROR,ERROR: \0
